,אזור המכירה:,בעלות נוכחית,בעלות קודמת,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,שם הסוכנות:,מחיר
645,באר שבע,פרטית,פרטית,14,05/2022,2,לא,לא,סיטרואן C4 פיקאסו,בנזין,1598,תכלת,"179,000",2015,05/2015,אוטומט,,
646,ראשון לציון,פרטית,,NaN,,1,לא,לא,מרצדס E-Class,היברידי חשמל / דיזל,1950,שחור,"7,000",2021,09/2021,אוטומט,,
647,להבים,פרטית,פרטית,2,,2,לא,לא,וולוו S90,היברידי חשמל / בנזין,1969,לבן,"70,000",2020,02/2020,אוטומט,,
648,הרצליה,פרטית,,15,12/2023,1,לא,לא,שברולט אורלנדו,בנזין,1362,לבן מטאלי,"74,000",2014,,אוטומט,...,
649,ניר בנים,פרטית,פרטית,8,05/2022,2,לא,לא,רנו קליאו דור 4 (2013-2019),בנזין,898,כחול מטאלי,"134,000",2016,05/2016,ידנית,,
650,אום אל פחם,פרטית,,NaN,10/2022,1,לא,לא,מרצדס E-Class קופה / קבריולט,בנזין,1991,אפור מטאלי,"19,000",2020,10/2020,אוטומט,,
651,קיסריה,פרטית,פרטית,14,12/2021,2,לא,לא,ב.מ.וו סדרה 3,היברידי חשמל / בנזין,1998,שמפניה,"78,406",2017,01/2017,אוטומט,,
652,עראבה,פרטית,,15,04/2022,1,לא,לא,ב.מ.וו M5,בנזין,4395,כחול כהה מטאלי,"28,000",2020,04/2020,אוטומט,,
653,גנות הדר,פרטית,פרטית,NaN,03/2022,2,לא,לא,לקסוס LS430,בנזין,4293,כחול,"50,000",2006,,אוטומט,,
654,ראשון לציון,פרטית,,15,,0,כן,לא,קיה קרניבל,בנזין,3470,לבן פנינה,,2021,,אוטומט,AYALONMOTORS,
655,חולון,ליסינג,,2,03/2022,1,כן,לא,יונדאי איוניק,בנזין,1580,כסף מטלי,"84,000",2019,03/2019,אוטומט,טופ טרייד אין,
656,חולון,פרטית,פרטית,15,,2,כן,לא,פורשה פאנאמרה,בנזין,2997,אפור,"1,000",2016,,אוטומט,top cars,
657,באקה אל ע'רביה,פרטית,פרטית,11,09/2022,3,כן,לא,פולקסווגן פולו,בנזין,1197,אדום,"103,000",2014,09/2014,אוטומט,רכב עירון טרייד אין בעמ,
658,קרית אתא,פרטית,פרטית,12,07/2022,3,לא,לא,מאזדה 3,בנזין,1998,שחור מטאלי,"98,000",2015,07/2015,אוטומט,AS,
659,ראשון לציון,ליסינג,,3,10/2022,1,כן,לא,טויוטה אוריס הייבריד,בנזין,1798,לבן,"96,000",2018,10/2018,אוטומט,בטר קאר,
660,נצרת,פרטית,פרטית,12,07/2022,2,לא,לא,מאזדה 3,בנזין,1998,לבן,"58,000",2018,07/2018,אוטומט,"בא לי אוטו בע""מ",
661,קדימה צורן,פרטית,,14,06/2022,1,לא,לא,טויוטה ורסו,בנזין,1798,לבן מטאלי,"48,000",2018,06/2018,אוטומט,a.h,
662,חולון,פרטית,,13,10/2022,1,כן,לא,אאודי A7,בנזין,2995,אפור מטאלי,"49,000",2019,07/2019,אוטומט,טרייד אין חולון,
663,פתח תקווה,ייבוא מקביל,,15,,0,כן,לא,מרצדס S-Class,בנזין,2999,שחור מטאלי,,2021,,אוטומט,אוטו אאוטלט,
664,ראשון לציון,פרטית,פרטית,8,06/2022,3,לא,לא,פיאט 500,בנזין,1242,לבן,"68,000",2017,06/2017,אוטומט,גלי 2004 בעמ,
665,נתניה,פרטית,,12,03/2022,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,לבן פנינה,"39,000",2020,03/2020,אוטומט,דולב,
666,רחובות,פרטית,ליסינג,2,,2,כן,לא,טויוטה יאריס הייבריד,בנזין,1497,שחור מטאלי,"103,000",2015,06/2015,אוטומט,טרייד אין 770,
667,באר שבע,פרטית,פרטית,9,05/2022,3,כן,לא,יונדאי i10,בנזין,1086,אפור עכבר,"91,000",2013,05/2013,ידנית,י.ש טרייד אין רפאל,
668,חולון,פרטית,,8,,0,לא,לא,ב.מ.וו סדרה 4,בנזין,1998,לבן פנינה,,2021,12/2021,אוטומט,טרייד אין חולון,
669,ראשון לציון,פרטית,ליסינג,14,02/2022,2,לא,לא,פורד פוקוס,בנזין,1596,לבן מטאלי,"164,000",2014,02/2014,אוטומט,גלי 2004 בעמ,
670,אשקלון,ליסינג,,5,,1,לא,לא,מאזדה 2,בנזין,1496,שחור מטאלי,"19,000",2020,,אוטומט,"גאי מוטורס סחר והשקעות בע""מ",
671,פתח תקווה,פרטית,,15,02/2022,1,לא,לא,קאדילק XT5,בנזין,3649,לבן פנינה,"54,000",2018,02/2018,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ",
672,פתח תקווה,פרטית,פרטית,14,05/2022,3,לא,לא,סקודה אוקטביה,בנזין,1395,כסוף מטאלי,"103,000",2015,05/2015,אוטומט,,
673,ירושלים,פרטית,פרטית,NaN,05/2022,3,לא,לא,מרצדס CLS,בנזין,3498,כסף מטלי,"220,000",2006,08/2006,אוטומט,,
674,חיפה,פרטית,פרטית,15,01/2022,3,לא,לא,קרייזלר 300C,בנזין,3518,אפור מטאלי,"262,000",2008,01/2008,אוטומט,,
675,אלפי מנשה,פרטית,פרטית,13,01/2022,2,לא,לא,אלפא רומיאו ג'ולייטה,בנזין,1742,שחור,"128,000",2017,01/2017,אוטומט,,
676,כאבול,פרטית,,12,01/2023,1,לא,לא,סיאט לאון,בנזין,1798,שחור מטאלי,"118,000",2016,01/2016,אוטומט,,
677,כפר קרע,פרטית,פרטית,15,,8,לא,לא,ב.מ.וו סדרה 3 קופה / קבריולט,בנזין,2979,לבן מטאלי,"155,000",2009,06/2009,אוטומט,,
678,תל אביב יפו,פרטית,פרטית,12,04/2022,2,לא,לא,טויוטה יאריס,בנזין,1298,אפור מטאלי,"142,836",2008,04/2008,רובוטית,,
679,אום אל פחם,פרטית,פרטית,15,01/2023,2,לא,לא,פולקסווגן ג'טה,בנזין,1390,שחור,"189,000",2012,01/2012,אוטומט,,
680,נצרת עילית / נוף הגליל,פרטית,פרטית,14,01/2022,2,לא,לא,סקודה סופרב (עד 2019),בנזין,1798,אפור מטאלי,"105,000",2019,01/2019,אוטומט,,
681,חולון,פרטית,,11,12/2023,1,לא,לא,אאודי A3,היברידי חשמל / בנזין,1395,לבן,"55,000",2019,01/2019,אוטומט,,
682,תל אביב יפו,פרטית,,15,12/2022,1,לא,לא,אאודי A8,בנזין,2995,שחור,"63,000",2019,01/2019,אוטומט,,
683,פוריה עילית,פרטית,,14,01/2023,1,לא,לא,אלפא רומיאו ג'וליה,בנזין,1995,לבן,"19,800",2020,01/2020,אוטומט,,
684,מגדל העמק,פרטית,,8,08/2022,1,לא,לא,אאודי A4,בנזין,1984,שחור,"27,000",2020,08/2020,אוטומט,,
685,נתניה,פרטית,פרטית,15,08/2022,2,כן,לא,אאודי Q5,בנזין,1984,לבן,"59,000",2018,08/2018,אוטומט,ט.ג רכב,
686,באר שבע,פרטית,פרטית,14,03/2022,2,לא,לא,אופל אסטרה,בנזין,1598,כסוף,"110,000",2016,11/2016,אוטומט,,
687,בית חשמונאי,פרטית,פרטית,15,09/2022,2,כן,לא,מרצדס CL,בנזין,5461,לבן פנינה,"124,000",2013,02/2013,אוטומט,,
688,אבו סנאן,פרטית,פרטית,NaN,,2,לא,לא,מרצדס C-Class קופה,בנזין,1796,כסוף,"255,000",2006,,אוטומט,,
689,עספיא,פרטית,,2,09/2022,1,לא,לא,טויוטה C-HR,בנזין,1798,לבן,"18,000",2020,10/2020,אוטומט,,
690,כפר כנא,פרטית,פרטית,14,08/2022,2,לא,לא,סיאט לאון,בנזין,1798,אפור מטאלי,"56,000",2017,08/2017,אוטומט,,
691,פתח תקווה,פרטית,,15,02/2022,1,לא,לא,קאדילק XT5,בנזין,3649,לבן פנינה,"54,000",2018,02/2018,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ",
692,תל אביב יפו,חברה,,1,07/2022,1,לא,לא,ב.מ.וו iX3,חשמלי,,אפור מטאלי,"2,544",2021,07/2021,אוטומט,דלק מוטורס בעמ,
693,ראשון לציון,פרטית,,15,08/2022,1,לא,לא,ניסאן אקס טרייל,דיזל,1749,שחור מטאלי,"17,000",2020,08/2020,אוטומט,אדיר ליסינג,
694,ראשון לציון,ליסינג,,2,06/2022,1,לא,לא,טויוטה קורולה הייבריד,בנזין,1798,לבן,"79,000",2019,06/2019,אוטומט,גלי 2004 בעמ,
695,תל אביב יפו,השכרה,,4,01/2023,1,לא,לא,פיג'ו 108,בנזין,998,לבן,"90,000",2017,01/2017,אוטומט,סאן-קאר,
696,ראשון לציון,ליסינג,,11,08/2022,1,כן,לא,דאצ'יה לודג'י,בנזין,1197,לבן,"125,000",2017,08/2017,ידנית,גאלופ מוטורס,
697,חיפה,פרטית,פרטית,14,06/2022,3,לא,לא,טויוטה אוונסיס,בנזין,1987,אפור מטאלי,"222,221",2009,06/2009,אוטומט,"מ.ת.מ. מוטורס בע""מ",
698,ראשון לציון,השכרה,,1,02/2022,1,לא,לא,אם. ג'י. / MG ZS,בנזין,999,שחור מטאלי,"38,000",2020,02/2020,אוטומט,גלי 2004 בעמ,
699,נתניה,פרטית,,3,03/2022,1,לא,לא,טויוטה C-HR,בנזין,1798,כסוף מטאלי,"57,302",2018,03/2018,אוטומט,מוסכי רכב נתניה א.מ בעמ,
700,נתניה,פרטית,פרטית,11,01/2023,2,לא,לא,סיאט איביזה,בנזין,1197,לבן מטאלי,"87,000",2014,01/2014,אוטומט,.,
701,אור יהודה,פרטית,פרטית,15,02/2022,3,לא,לא,סקודה סופרב (עד 2019),בנזין,1798,לבן,"1,420,000",2015,02/2015,אוטומט,רכב אשר,
702,תל אביב יפו,פרטית,,5,10/2022,1,לא,לא,רנו קפצ'ור,בנזין,1197,בז',"56,000",2017,10/2017,אוטומט,יקיר מוטורס,
703,אודים,פרטית,פרטית,14,01/2023,2,לא,לא,אופל אסטרה,בנזין,1364,כסוף,"87,000",2012,01/2012,אוטומט,",",
704,חולון,פרטית,פרטית,6,03/2022,2,כן,לא,סקודה ראפיד,בנזין,1197,אפור מטאלי,"140,000",2017,03/2017,אוטומט,מרכז הרכב - חולון,
705,עפולה,פרטית,ליסינג,11,09/2022,5,כן,לא,סקודה אוקטביה,בנזין,1798,כסוף מטאלי,"160,000",2017,09/2017,אוטומט,אביחי ביתן רכב הצפון,
706,כפר סבא,ליסינג,,4,03/2022,1,לא,לא,לקסוס GS300H,בנזין,2494,אפור מטאלי,"76,000",2018,03/2018,אוטומט,גלי 2004 בעמ,
707,ראשון לציון,פרטית,,9,06/2022,1,כן,לא,אאודי A4,בנזין,1984,לבן,"64,000",2019,06/2019,אוטומט,WinCar,
708,נתניה,פרטית,פרטית,15,05/2022,3,כן,לא,ב.מ.וו X6,דיזל,2993,אפור מטאלי,"168,000",2014,05/2014,אוטומט,דולב,
709,מגדים,פרטית,ליסינג,14,06/2022,2,לא,לא,פיג'ו 508,בנזין,1598,כסוף מטאלי,"126,000",2016,06/2016,אוטומט,,
710,קרית אונו,פרטית,פרטית,9,12/2022,2,לא,לא,פיאט פונטו איבו (דור III מתיחת פנים),בנזין,1368,כסוף,"29,500",2010,12/2010,רובוטית,,
711,פתח תקווה,פרטית,פרטית,7,06/2022,2,לא,לא,שברולט ספארק,בנזין,1206,ירוק מטאלי,"109,000",2011,06/2011,ידנית,,
712,בני ברק,פרטית,חברה,15,11/2022,2,לא,לא,פיג'ו 508,בנזין,1598,לבן,"87,250",2013,11/2013,אוטומט,,
713,תל אביב יפו,פרטית,פרטית,15,06/2022,2,לא,לא,ניסאן טידה,בנזין,1598,אפור מטאלי,"109,000",2009,03/2009,אוטומט,,
714,פתח תקווה,פרטית,,6,,1,לא,לא,דאצ'יה סנדרו Stepway,בנזין,898,כחול בהיר מטאלי,"4,000",2018,01/2018,אוטומט,,
715,ירושלים,פרטית,פרטית,NaN,05/2022,5,לא,לא,יונדאי i20,בנזין,1396,לבן,"109,500",2010,05/2010,אוטומט,,
716,ראשון לציון,פרטית,ליסינג,NaN,09/2022,2,לא,לא,יונדאי אקסנט (עד 2012),בנזין,1495,כסוף מטאלי,"150,000",2006,09/2006,אוטומט,,
717,כפר כנא,פרטית,,14,11/2022,1,לא,כן,סיאט לאון,בנזין,1798,לבן,"90,000",2017,11/2017,אוטומט,,
718,פתחיה,פרטית,,12,,1,לא,לא,סיאט לאון,בנזין,1798,לבן,"86,000",2018,08/2018,אוטומט,,
719,כאבול,פרטית,פרטית,2,01/2022,2,לא,לא,מרצדס C-Class,בנזין,1595,לבן מטאלי,"99,000",2017,01/2017,אוטומט,,
720,תל אביב יפו,פרטית,פרטית,15,11/2022,5,לא,לא,סיטרואן DS3 קבריולט,בנזין,1598,אפור,"102,000",2014,11/2014,אוטומט,,
721,חדרה,פרטית,פרטית,15,,3,לא,לא,אאודי S5,בנזין,2995,לבן,"78,000",2016,,אוטומט,,
722,חדרה,ליסינג,,2,09/2022,1,כן,לא,יונדאי איוניק,בנזין,1580,לבן,"125,000",2018,09/2018,אוטומט,כפיר עסקי רכב,
723,ירושלים,פרטית,ליסינג,14,05/2022,2,לא,לא,פורד פוקוס,בנזין,1596,לבן,"144,500",2013,05/2013,אוטומט,,
724,פתח תקווה,פרטית,פרטית,3,05/2022,2,לא,לא,סיטרואן C1,בנזין,998,אדום,"32,400",2016,05/2016,ידנית,,
725,שוהם,פרטית,פרטית,3,11/2022,2,לא,לא,טויוטה פריוס הייבריד,בנזין,1798,כחול כהה מטאלי,"148,000",2010,11/2010,אוטומט,,
726,ראשון לציון,פרטית,פרטית,15,01/2022,3,לא,לא,לקסוס GS450H,בנזין,3456,כחול כהה מטאלי,"257,000",2009,01/2009,אוטומט,,
727,אדם - גבע בנימין,פרטית,,12,07/2022,1,לא,לא,דאצ'יה סנדרו Stepway,בנזין,898,אפור מטאלי,"55,500",2016,04/2016,אוטומט,,
728,נתניה,פרטית,פרטית,11,01/2023,2,לא,לא,סיאט איביזה,בנזין,1197,לבן מטאלי,"87,000",2014,01/2014,אוטומט,.,
729,אור יהודה,פרטית,פרטית,15,02/2022,3,לא,לא,סקודה סופרב (עד 2019),בנזין,1798,לבן,"1,420,000",2015,02/2015,אוטומט,רכב אשר,
730,תל אביב יפו,פרטית,,5,10/2022,1,לא,לא,רנו קפצ'ור,בנזין,1197,בז',"56,000",2017,10/2017,אוטומט,יקיר מוטורס,
731,אודים,פרטית,פרטית,14,01/2023,2,לא,לא,אופל אסטרה,בנזין,1364,כסוף,"87,000",2012,01/2012,אוטומט,",",
732,חולון,פרטית,פרטית,6,03/2022,2,כן,לא,סקודה ראפיד,בנזין,1197,אפור מטאלי,"140,000",2017,03/2017,אוטומט,מרכז הרכב - חולון,
733,עפולה,פרטית,ליסינג,11,09/2022,5,כן,לא,סקודה אוקטביה,בנזין,1798,כסוף מטאלי,"160,000",2017,09/2017,אוטומט,אביחי ביתן רכב הצפון,
734,כפר סבא,ליסינג,,4,03/2022,1,לא,לא,לקסוס GS300H,בנזין,2494,אפור מטאלי,"76,000",2018,03/2018,אוטומט,גלי 2004 בעמ,
735,ראשון לציון,פרטית,,9,06/2022,1,כן,לא,אאודי A4,בנזין,1984,לבן,"64,000",2019,06/2019,אוטומט,WinCar,
736,נתניה,פרטית,פרטית,15,05/2022,3,כן,לא,ב.מ.וו X6,דיזל,2993,אפור מטאלי,"168,000",2014,05/2014,אוטומט,דולב,
737,חולון,פרטית,,15,01/2022,0,כן,לא,דודג' צ'לנג'ר,בנזין,3604,שחור מטאלי,,2021,01/2021,אוטומט,טרייד אין חולון,
738,הרצליה,פרטית,,1,,0,כן,לא,מרצדס EQA,חשמלי,,לבן מטאלי,,2021,,אוטומט,V12 רכבי יוקרה,
739,ראשון לציון,פרטית,פרטית,9,,2,כן,לא,מרצדס CLA,בנזין,1991,לבן,"17,900",2020,,אוטומט,יהלומים על הכביש,
740,נהריה,פרטית,פרטית,15,12/2022,2,לא,לא,מאזדה 3,בנזין,1598,אפור,"185,000",2005,,אוטומט,עופר,
741,תל אביב יפו,פרטית,פרטית,15,07/2022,2,כן,לא,ניסאן קשקאי,בנזין,1997,אפור מטאלי,"130,000",2009,07/2009,אוטומט,אריה,
742,אשקלון,פרטית,,13,08/2022,1,כן,לא,רנו קדגא'ר,דיזל,1461,לבן פנינה,"119,000",2017,08/2017,אוטומט,ליעד לוגסי,
743,קרית אתא,פרטית,,14,08/2022,1,לא,לא,מרצדס GLC-Class קופה,היברידי חשמל / בנזין,1991,שחור,"10,000",2021,08/2021,אוטומט,MD MOTORS,
744,חיפה,פרטית,פרטית,15,05/2022,2,לא,לא,סיטרואן C3,בנזין,1598,אפור מטאלי,"87,000",2012,,אוטומט,רועי קאר,
745,קרית ים,פרטית,פרטית,15,03/2022,2,כן,לא,פולקסווגן גולף פלוס,בנזין,1390,אפור מטאלי,"215,000",2011,03/2011,אוטומט,אלברטו,
746,תל אביב יפו,פרטית,,7,06/2022,1,לא,לא,פיג'ו 208,בנזין,1199,אפור עכבר,"75,617",2016,06/2016,אוטומט,,
747,פתח תקווה,פרטית,,3,05/2023,1,לא,לא,טויוטה קורולה הייבריד,בנזין,1798,לבן פנינה,"26,000",2020,05/2020,אוטומט,,
748,גבעת שמואל,פרטית,,15,04/2022,1,לא,לא,קיה קרניבל,בנזין,3342,כסוף,"50,000",2016,08/2016,אוטומט,,
749,רמת גן,פרטית,,15,,1,לא,לא,מרצדס S-Class קבריולט,בנזין,4663,אפור מטאלי,"20,000",2017,06/2017,אוטומט,,
750,עבדון,פרטית,פרטית,15,11/2022,2,לא,לא,שברולט אימפלה,בנזין,3564,אפור מטאלי,"70,000",2015,11/2015,אוטומט,,
751,כאבול,פרטית,פרטית,14,02/2022,4,לא,לא,מרצדס E-Class,בנזין,1991,אפור מטאלי,"127,000",2016,02/2016,אוטומט,,
752,כפר סבא,פרטית,,15,10/2022,1,לא,לא,מרצדס S-Class,בנזין,3498,כסוף,"210,000",2008,03/2008,אוטומט,,
753,ראשון לציון,פרטית,פרטית,13,,3,לא,לא,ניסאן ג'וק / Juke,בנזין,1598,לבן פנינה,"67,000",2016,,אוטומט,,
754,חיפה,פרטית,פרטית,15,,2,לא,לא,שברולט קאמארו,בנזין,3600,שחור,"36,000",2018,08/2018,אוטומט,,
755,בית הלל,פרטית,,1,08/2022,1,לא,לא,טסלה מודל 3,חשמלי,,לבן,"5,000",2021,08/2021,אוטומט,,
756,רעננה,פרטית,,13,03/2022,1,לא,לא,רנו קפצ'ור,בנזין,1197,חום מטאלי,"121,000",2014,03/2014,אוטומט,,
757,קרית אתא,פרטית,פרטית,15,12/2022,2,לא,לא,סקודה סופרב (עד 2019),בנזין,1798,שחור מטאלי,"145,000",2015,01/2015,אוטומט,,
758,באר שבע,פרטית,פרטית,15,03/2022,2,לא,לא,אאודי A7,בנזין,2995,לבן פנינה,"185,000",2012,03/2012,אוטומט,,
